,Trial_ID,cluster,Rat_ID,Amplitude,Frequency_Hz,Pulse_Width(us),post_stim,pre_stim,percent_change,Trial_Cluster
146,DW322_VF_8_240918_152056,18.0,DW322,51,100,300,2.147633337450612e-05,2.006541477007236e-05,7.031594515245952,DW322_VF_8_240918_152056_18.0
147,DW322_VF_8_240918_152056,20.0,DW322,51,100,300,3.943129866894208e-05,3.5243316407843456e-05,11.883053832489445,DW322_VF_8_240918_152056_20.0
148,DW322_VF_8_240918_152056,22.0,DW322,51,100,300,2.7252915125088503e-05,1.9852410915669183e-05,37.27760945940437,DW322_VF_8_240918_152056_22.0
149,DW322_VF_8_240918_152056,23.0,DW322,51,100,300,4.931119650442996e-05,4.986271122422718e-05,-1.1060664497706933,DW322_VF_8_240918_152056_23.0
150,DW322_VF_8_240918_152056,24.0,DW322,51,100,300,4.126730234153642e-05,4.058564920749827e-05,1.6795422701091385,DW322_VF_8_240918_152056_24.0
151,DW322_VF_8_240918_152056,25.0,DW322,51,100,300,3.505452817115156e-05,1.7433377965588332e-05,101.07708466107681,DW322_VF_8_240918_152056_25.0
152,DW322_VF_8_240918_152056,26.0,DW322,51,100,300,2.1115943355266636e-06,4.458465875363805e-06,-52.638544410652,DW322_VF_8_240918_152056_26.0
153,DW322_VF_8_240918_152056,27.0,DW322,51,100,300,7.375907096019526e-05,4.92865912377475e-05,49.65342318846518,DW322_VF_8_240918_152056_27.0
154,DW322_VF_8_240918_152056,28.0,DW322,51,100,300,4.302946623458735e-05,3.89709440927853e-05,10.41422587079025,DW322_VF_8_240918_152056_28.0
155,DW322_VF_8_240918_152056,30.0,DW322,51,100,300,4.5776830993560405e-05,4.6327468814672235e-05,-1.1885773930680186,DW322_VF_8_240918_152056_30.0
156,DW322_VF_8_240918_152056,31.0,DW322,51,100,300,4.35062306611091e-06,4.3211026437006245e-06,0.6831687382691833,DW322_VF_8_240918_152056_31.0
157,DW322_VF_8_240918_152056,32.0,DW322,51,100,300,2.5807698704976782e-05,2.1323969273451034e-05,21.026711181337717,DW322_VF_8_240918_152056_32.0
158,DW322_VF_9_240918_152753,7.0,DW322,51,20,300,2.6166442543525537e-05,3.395448917641796e-05,-22.93672154049477,DW322_VF_9_240918_152753_7.0
159,DW322_VF_9_240918_152753,8.0,DW322,51,20,300,4.439585458812609e-05,6.46877523559923e-05,-31.36899494698007,DW322_VF_9_240918_152753_8.0
160,DW322_VF_9_240918_152753,9.0,DW322,51,20,300,8.920923131737178e-05,8.993242455220184e-05,-0.8041518266976978,DW322_VF_9_240918_152753_9.0
161,DW322_VF_9_240918_152753,10.0,DW322,51,20,300,1.54894876877665e-05,2.3699174107457734e-05,-34.64123425764353,DW322_VF_9_240918_152753_10.0
162,DW322_VF_9_240918_152753,11.0,DW322,51,20,300,2.132384960040649e-05,2.0961915735465455e-05,1.726625893876094,DW322_VF_9_240918_152753_11.0
163,DW322_VF_9_240918_152753,14.0,DW322,51,20,300,4.4290710299531375e-05,8.610815784789464e-05,-48.56386269722725,DW322_VF_9_240918_152753_14.0
164,DW322_VF_9_240918_152753,18.0,DW322,51,20,300,4.965306355326041e-05,5.397119921295019e-05,-8.000814735748275,DW322_VF_9_240918_152753_18.0
165,DW322_VF_9_240918_152753,19.0,DW322,51,20,300,5.977789219067991e-05,5.043943726334635e-05,18.514193325704863,DW322_VF_9_240918_152753_19.0
166,DW322_VF_9_240918_152753,20.0,DW322,51,20,300,5.079077451868177e-05,5.2503467450026815e-05,-3.2620568022011147,DW322_VF_9_240918_152753_20.0
167,DW322_VF_9_240918_152753,24.0,DW322,51,20,300,0.0001274830749471316,0.0002443703779327374,-47.832026113156346,DW322_VF_9_240918_152753_24.0
168,DW322_VF_9_240918_152753,25.0,DW322,51,20,300,1.843868203582197e-05,2.4880737111942887e-05,-25.891737238880662,DW322_VF_9_240918_152753_25.0
169,DW322_VF_9_240918_152753,26.0,DW322,51,20,300,4.898771726607867e-05,8.37206956636745e-05,-41.486729323327985,DW322_VF_9_240918_152753_26.0
170,DW322_VF_9_240918_152753,27.0,DW322,51,20,300,2.1969910736069085e-05,2.4933306231367616e-05,-11.885288969701094,DW322_VF_9_240918_152753_27.0
171,DW322_VF_9_240918_152753,29.0,DW322,51,20,300,3.813390389239647e-05,2.5662464746916572e-05,48.59797867614559,DW322_VF_9_240918_152753_29.0
172,DW322_VF_9_240918_152753,30.0,DW322,51,20,300,0.00011703113393692484,7.428776969738764e-05,57.5375521618874,DW322_VF_9_240918_152753_30.0
173,DW323_VF_1_240911_164342,0.0,DW323,70,5,300,3.737277143341261e-06,4.401688311940011e-06,-15.094461977157028,DW323_VF_1_240911_164342_0.0
174,DW323_VF_1_240911_164342,1.0,DW323,70,5,300,6.387446233915513e-06,5.823640139975009e-06,9.681334704567163,DW323_VF_1_240911_164342_1.0
175,DW323_VF_1_240911_164342,2.0,DW323,70,5,300,5.038516788882277e-06,1.4746992393634385e-06,241.66402574786562,DW323_VF_1_240911_164342_2.0
176,DW323_VF_1_240911_164342,3.0,DW323,70,5,300,2.605795693306629e-06,3.0442156363952937e-06,-14.401737440906293,DW323_VF_1_240911_164342_3.0
177,DW323_VF_1_240911_164342,4.0,DW323,70,5,300,2.7044758066960614e-06,2.56400354361128e-06,5.478629833987382,DW323_VF_1_240911_164342_4.0
178,DW323_VF_1_240911_164342,7.0,DW323,70,5,300,2.34459756561946e-05,2.3104788561668374e-05,1.4766942948452921,DW323_VF_1_240911_164342_7.0
179,DW323_VF_1_240911_164342,10.0,DW323,70,5,300,2.694637454231246e-05,2.4676695451320618e-05,9.19766220509228,DW323_VF_1_240911_164342_10.0
180,DW323_VF_1_240911_164342,12.0,DW323,70,5,300,1.8727152256194677e-05,1.1908163308655045e-05,57.2631460519481,DW323_VF_1_240911_164342_12.0
181,DW323_VF_1_240911_164342,14.0,DW323,70,5,300,1.6271093748432903e-05,2.610801585777737e-05,-37.67778510221076,DW323_VF_1_240911_164342_14.0
182,DW323_VF_1_240911_164342,15.0,DW323,70,5,300,8.68883181132631e-06,9.926536451931338e-06,-12.468645499853245,DW323_VF_1_240911_164342_15.0
183,DW323_VF_1_240911_164342,17.0,DW323,70,5,300,2.4944345831108254e-05,9.489216521662689e-06,162.87044640791416,DW323_VF_1_240911_164342_17.0
184,DW323_VF_2_240911_165039,0.0,DW323,70,20,300,2.379599359368216e-07,1.7393119413460096e-06,-86.31873154664422,DW323_VF_2_240911_165039_0.0
185,DW323_VF_2_240911_165039,1.0,DW323,70,20,300,1.0758547197410421e-06,1.6234478008607339e-06,-33.73025488280954,DW323_VF_2_240911_165039_1.0
186,DW323_VF_2_240911_165039,2.0,DW323,70,20,300,1.3087796476525193e-06,5.2742091825546625e-06,-75.18529124742476,DW323_VF_2_240911_165039_2.0
187,DW323_VF_2_240911_165039,3.0,DW323,70,20,300,3.6091686802778645e-06,1.7843814715172513e-06,102.26441138782981,DW323_VF_2_240911_165039_3.0
188,DW323_VF_2_240911_165039,4.0,DW323,70,20,300,2.487526134956767e-06,5.632678472978117e-06,-55.83759756765313,DW323_VF_2_240911_165039_4.0
189,DW323_VF_2_240911_165039,7.0,DW323,70,20,300,2.8555192312418593e-06,1.464496402974309e-05,-80.50169856721763,DW323_VF_2_240911_165039_7.0
